gff_file	GeneID	NewID
mfanno_update.gene.gff	atp9	atp9
mfanno_update.gene.gff	cob	cob
mfanno_update.gene.gff	cox3	cox3
mfanno_update.gene.gff	nad3	nad3
mfanno_update.gene.gff	nad4	nad4
mfanno_update.gene.gff	nad4L	nad4L
mfanno_update.gene.gff	nad2	nad2
mfanno_update.gene.gff	cox2	cox2
mfanno_update.gene.gff	orf294	T203_orf294
mfanno_update.gene.gff	nad5	nad5
mfanno_update.gene.gff	orf115	T203_orf115
mfanno_update.gene.gff	cox1	cox1
mfanno_update.gene.gff	nad1	nad1
mfanno_update.gene.gff	atp8	atp8
mfanno_update.gene.gff	atp6	atp6
mfanno_update.gene.gff	nad6	nad6
mfanno_update.gene.gff	orf459	rps3
