GeneID	ProteinDescription	Domain	PfamAccession
atp9	ATP synthase F0 subunit 9		
cob	apocytochrome b		
cox3	cytochrome c oxidase subunit 3		
nad3	NADH dehydrogenase subunit 3		
nad4	NADH dehydrogenase subunit 4		
nad4L	NADH dehydrogenase subunit 4L		
nad2	NADH dehydrogenase subunit 2		
cox2	cytochrome c oxidase subunit 2		
T203_orf294	GIY-YIG endonuclease		
nad5	NADH dehydrogenase subunit 5		
T203_orf115	hypothetical protein		
cox1	cytochrome c oxidase subunit 1		
nad1	NADH dehydrogenase subunit 1		
atp8	ATP synthase F0 subunit 8		
atp6	ATP synthase F0 subunit 6		
nad6	NADH dehydrogenase subunit 6		
rps3	ribosomal protein S3		
